feature,real_mean,fake_mean,separation,real_std,fake_std
low_high_ratio,2.3289,0.8918,1.1639,1.1689,0.776
residual_variance,225.1033,77.9775,1.0981,143.2419,58.4413
radial_loglog_intercept,10.333,11.0951,1.0851,0.6045,0.5741
high_band_power,37356842.0875,124039733.8662,0.9656,21265806.4357,113114730.5079
low_band_power,73934542.5787,52074434.1802,0.6722,34656926.5339,25237615.5506
ring_energy,0.0382,0.0287,0.6454,0.0143,0.0134
offcenter_energy,0.0003,0.0002,0.5825,0.0002,0.0002
autocorr_strength,0.009,0.0073,0.5479,0.0024,0.0033
std_intensity,63.6394,56.0724,0.5425,13.2753,13.6043
std_patch_entropy,1.0721,0.9566,0.2574,0.4782,0.4031
high_entropy_patch_ratio,0.3829,0.3391,0.253,0.1712,0.1723
largest_cluster_size,3.454,3.0575,0.1647,2.5672,2.1909
near_center_energy,0.4298,0.4168,0.1433,0.0868,0.0948
num_clusters,1.7832,1.9086,0.1374,0.9052,0.9177
entropy,7.1794,7.1352,0.1071,0.4388,0.3783
mean_intensity,110.2909,107.1332,0.0916,34.8123,34.0303
radial_loglog_slope,-2.2579,-2.2917,0.0828,0.472,0.3181
center_ring_gap,0.3916,0.3881,0.042,0.0837,0.0853
mean_patch_entropy,6.1337,6.1527,0.0376,0.5438,0.4533
low_entropy_patch_ratio,0.2839,0.2777,0.0369,0.1693,0.1647
cluster_density,0.2839,0.2777,0.0369,0.1693,0.1647
